kho,vi
"bi a khon hơ ƀòn đăk klờng, càr ƀòn đăk hring, kơnhuàl đăk hà (kon tum) geh lơh gơlik priă rơlau 100 tơlăk priă tam dùl năm bơh tăm tờm kơ phe mơ bùm blàng lơh mơ ñhòng priă càn bơh broă tơlik lơh pờ anàng broă tơlik lơh polam trơmù rơƀah","anh a khon ở làng đăk klờng, xã đăk hring, huyện đăk hà (kon tum) có thu nhập hơn 100 triệu đồng/năm nhờ trồng cây cà phê và mì bằng nguồn vốn vay từ dự án nhân rộng mô hình giảm nghèo"
mè bèp pal lơh ai kòn dềt in lòt kham tai tơnơ̆ 1 tus 2 ngai tàm 7 ngai sơnrờp bơh kòp dê,cha mẹ cần tiến hành cho trẻ tái khám sau 1-2 ngày trong 7 ngày đầu của bệnh
añ gŏ kơnòm dềt gam dềt mờ gơlơh să gờñ den nđàc ngan den tàng pal lòt kham gờn mờ sơm ai kòn dềt in,tôi thấy trẻ đang nhỏ mà dậy thì sớm rất tội nên phải đi khám sớm và điều trị cho bé
"kwơ màng pa do, kwang đơng lam biện bệ sinh zịc tễ tây nguyên kung neh lơh broă mờ hìu sơnơm tiah tây nguyên nàng sơndră mờ kòp rang dồ","đặc biệt, mới đây lãnh đạo viện vệ sinh dịch tễ tây nguyên cũng đã làm việc với bệnh viện đa khoa vùng tây nguyên để ứng phó với bệnh đậu mùa khỉ"
bơta do gơtìp uă ngan rềs àr gơwèt mờ cau lòt gùng,điều này gây ra rất nhiều tại nạn đối với người đi đường
"hòi jà làng bol pal lòt xět nghiệm tĕ sơdàng mhàm nàng gờñ gŏ kòp, sơm di tŭ","khuyến khích người dân hãy đi xét nghiệm đường máu để sớm phát hiện bệnh, điều trị kịp thời"
"kờp jơh khà cau ngir cĭt ma tŭy geh tus bal broă lơh jrum cĭt là 756 nă (nam 2021), 529 nă (nam 2022) mờ 398 nă (6 nhai bồ nam 2023)","tổng số người nghiện chích ma túy được tiếp cận chương trình bơm kim tiêm là 756 người (năm 2021), 529 người (năm 2022) và 398 người (6 tháng đầu năm 2023)"
jăt sền nền bơta kòp bơtờp kòp as sồt rơnồng dờ tàm ù tiah he dê,"theo dõi, giám sát chặt chẽ tình hình dịch bệnh bạch hầu trên địa bàn"
"mblàng yal, bơto pơlam ai klau pơgru, ùr pơgru, cau sền gàr kơnòm mờ kơnòm bơsram in sùm ràu tê mờ sơƀong tềng jơnồr dà hòr uă dơ̆ tàm ngai (geh bal cau dờng mờ kơnòm dềt)","tuyên truyền, hướng dẫn cho thầy, cô giáo, người chăm sóc trẻ và học sinh thường xuyên rửa tay bằng xà phòng dưới vòi nước chảy nhiều lần trong ngày (cả người lớn và trẻ em)"
"làng lơh tơl lơngăp kơnòm bơsram in, ủy ban nhân dân mơ anih lơh broă bơtê mơ jòi bơto ală càr, ƀòn dờng neh tề lam ală anih lơh broă bơtê lơh tơng guh ală broă lơh tơlik rơcăng, tam dră kòp suh cobid-19","để đảm bảo an toàn cho học sinh, ủy ban nhân dân và sở giáo dục và đào tạo các tỉnh, thành phố đã chỉ đạo các cơ sở giáo dục tăng cường các biện pháp phòng, chống dịch covid-19"
bi điểu thị kim xuân tam dơ̆ lòt tam anih ơm yal tơng git jăt bơta să pràn deh dùh làng bol jơi bơtiàn in,chị điểu thị kim xuân trong chuyến thực địa tuyên truyền về sức khỏe sinh sản cho đồng bào dân tộc
"tŭ hơ̆, añ gơlơh bè sơnrang tơn mơya kơnờm geh ală ƀak sĩ bơto pơlam mờ đơs là bơta kòp do neh geh sơnơm hùc, he kah hùc sơnơm sùm, wil tơl den he kung gam kis bè cau bè ờs sơl","lúc đó, tôi giống như bị điên luôn nhưng nhờ có các bác sĩ hướng dẫn và nói là bệnh này đã có thuốc uống, mình nhớ uống thuốc thường xuyên, đầy đủ thì mình cũng vẫn sống bình thường như người khác"
pờ măi lơh kơsơt phan gơlik kòp bơta lơh dêt crềt anih ơm gùng wêt,khởi động máy khử khuẩn loại nhỏ phun xịt khu vực ngõ nhỏ
"tăp phan do dilah lời jŏ rơ̆p lơ ut kră, tàm tho tàm kơltau măt (kơnồng jù gam hòi là kòn măt), lơh kơltau măt gơtìp sồt lơhò halà rơlùh ơnàng, digơlan gơlam tus as sồt mồr kơltau măt","lớp màng này nếu để lâu sẽ dày cứng, cọ sát vào giác mạc (tròng đen), làm giác mạc bị trầy xước hoặc trợt rộng, có thể dẫn đến viêm loét giác mạc"
"bơta tờm mìng tài làng bol ờ tơnkah tàm broă sền gàr măt tàm tŭ lơh broă, gơtìp ntê chi, nha chi, ñhơ̆t, gơthul, ù lŭ… par mŭt di tàm măt lơh gơtìp gơklò ha là sồt klồng măt","nguyên nhân chủ yếu do người dân không chú ý bảo vệ mắt trong quá trình lao động, bị cành cây, lá cây, mảnh cỏ, bụi, đất đá... bay vào mắt làm trầy xước hoặc rách giác mạc"
"sră đơng lam pơyua ƀộ trưởng ală ƀộ: lơh sơnơm, bơto bơtê mờ bơsram, niam chài, tàp pràn să jan mờ lòt nhơl; kwang lam bồ dờng: anih sơñio rùp biệt nam, anih jơnau đơs biệt nam, yal tơnggĭt jơnau biệt nam; củ tịc anih duh broă làng bol ală càr, ƀòn dờng gơ wèt dà lơgar","công điện gửi bộ trưởng các bộ: y tế, giáo dục và đào tạo, văn hóa, thể thao và du lịch; tổng giám đốc: đài truyền hình việt nam, đài tiếng nói việt nam, thông tấn xã việt nam; chủ tịch ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương"
"să jan ngai sơlơ glar, ờ sô, jơng tê rơm jơh gơ jat bal mờ jê bồ, hòr mhàm sề den tàng hìu bơnhă neh jun tus hìu sơnơm dờng tiah tây nguyên nàng pơn jat tai sơm kòp","cơ thể ngày càng mệt mỏi, yếu, chân tay run hết kèm với đau đầu, xuất huyết răng vì vậy người nhà đưa bệnh nhân tới bệnh viện vùng tây nguyên để tiếp tục điều trị"
"ală klờng pờ bơsram jơi bơtiàn (ptdt) ơm bơsram, ơm bơsram ngai hơ̆ pờ lơh sào sa ơm rơlô, bơsram geh lơh ơm is, bal bè hơ̆ săp rơndăp anih lơh ơm is ngài mơ geh tơl phan lơh rơcang pal geh tŭ geh cau f0","các trường phổ thông dân tộc (ptdt) nội trú, bán trú thì tổ chức ăn ở, học tập khép kín, đồng thời bố trí khu vực cách ly và có đủ trang bị cần thiết khi có trường hợp f0"
kòp rang sùm gơbàn mờ tơngai gơ wơl wơl bơh 3 tus 5 nam,dịch sởi thường xảy ra với chu kỳ từ 3-5 năm
"nàng kơryan bơta bơtờp uă bơh kòp sốt xuất huyết, gah lơh sơnơm gam lơh pràn broă lơh mblàng yal tơnguh uă bơta gĭt wă bơh làng bol dê","để phòng chống bệnh sốt xuất huyết, ngành y tế đang đẩy mạnh công tác tuyên truyền nâng cao ý thức của người dân"
"kờp tus lồi jơh kàl kơnhai dơ 3/2020, bắc kạn geh 309.630 nă cau lơh bal bhyt, tam hơ̆ geh hơđang 176.000 nă cau lah làng bol jơi bơtiàn kòn cau gam ơm kis tềng ală tiah geh tơl bơta broă lơh sa - mpồl ơm kis làng bol kal ke mơ is ồn kal ke gah ai sră bhyt","tính đến hết quý 3/2020, bắc kạn có 309.630 người tham gia bhyt, trong đó có trên 176.000 người là đồng bào dtts đang sinh sống tại các vùng có điều kiện kinh tế - xã hội khó khăn và đặc biệt khó khăn được cấp thẻ bhyt"
"să tờm neh geh tŭ gơtìp kòp thủy đậu mờ gơlời uă pơnời tàm muh măt, den tàng lŏ h’ uông ngòt ngan là kòn ùr kung gơtìp bè lŏ dê sơl","vì bản thân từng bị thủy đậu và để lại sẹo trên mặt, nên chị h’uông rất lo lắng con gái cũng sẽ gặp tình trạng như chị"
"ƀăk sĩ đơs là kòp kùh gơdê, blơi sơnơm hùc pơgồp bal mờ pih nàng tơmù gơtìp dơkiăt mờ jê, kòp do ờ gơtùi sơm bời","bác sĩ nói là bệnh vảy nến, mua thuốc uống kèm với thuốc bôi để giảm bị ngứa ngáy và đau nhức, bệnh này không thể chữa khỏi"
ràu tê sùm mờ sơƀong tềng hơđơm jơnồr dà gơ hòr sùm uă dơ̆ tàm ngai (geh bal cau dờng mờ kơnòm dềt),rửa tay thường xuyên bằng xà phòng dưới vòi nước chảy nhiều lần trong ngày (cả người lớn và trẻ em)
"geh tŭ gam nggui bơsram, oh khăt nùs is lik hờ bơdìh mờ ờ dan gơnoar pơgru","đôi khi đang ngồi học, bé tự ý đi ra ngoài mà không xin phép cô giáo"
ờ ngui bal phan ngui mờ phan sa bal mờ kơnòm ndai,không dùng chung dụng cụ và thức ăn chung với trẻ khác
"bơh bồ nam tus tŭ do, hìu sơnơm kơnòm dềt gia lai dờp mờr 500 nă kơnòm dềt mut tàm hìu sơnơm tài bơh bơtờp kòp rang, gơguh uă nisơna pơndrờm dùl tŭ bal mờ nam 2024","từ đầu năm đến nay, bệnh viện nhi gia lai tiếp nhận gần 500 trẻ nhập viện do mắc bệnh sởi, tăng đột biến so với cùng kỳ năm 2024"
"tàm pơrjum, thứ trưởng ƀộ lơh sơnơm mò nguyễn thị liên hương đơs pơndŭt, sồr lơh bè do: nam 2024, bơta ală kòp tàm bơtờp kung gam gơbàn kal ke ngan gơtùi gĭt lài, kal ke ngan yal lài, ală dơ̆ lơh bơtờp kòp mpox, kòp jê ndul gơjroh, kwĕt kơlte, marburg…gơlik geh tàm uă dà lơgar","tại hội nghị, thứ trưởng bộ y tế nguyễn thị liên hương kết luận, chỉ đạo như sau: năm 2024, tình hình các bệnh truyền nhiễm vẫn diễn biến khó lường, khó dự báo, các đợt bùng phát dịch bệnh mpox, dịch tả, bại liệt, marburg... xảy ra tại nhiều quốc gia"
ƀăk sĩ trần thị như anh: kết mạk geh kết mạk ñãn kầu mờ kết mạk sơndồi mat,bác sĩ trần thị như anh: kết mạc gồm có kết mạc nhãn cầu và kết mạc mi mắt
"jăt jơnau yal bơh anih tờm lơh sơnơm ƀòn drà dờng buôn hồ, ngai 06/03, tàm ơdŭ lă 1, hìu bơsram mầm non bình minh, sơnah ƀòn an bình, ƀòn drà dờng buôn hồ gŏ 1 nă kòn dềt geh ală muh dà geh tàm muh măt mờ tê","theo báo cáo của trung tâm y tế thị xã buôn hồ, ngày 6/3, tại lớp lá 1, trường mầm non bình minh, phường an bình, thị xã buôn hồ phát hiện 1 trẻ xuất hiện các mụn nước mọc ở mặt và tay"
"krung ràng tơlik ală broă lơh dong kờl ngăn ngồn, dong làng bol jơi bơtiàn kòn cau đơs bal, làng bol khmer đơs is lơh rơhời srơlèt gan kờp pluh dờng, trơgùm lơh tơlik broă sa, wil lơngai rai kis","cũng triển khai các hoạt động hỗ trợ thiết thực, giúp đồng bào dtts nói chung, đồng bào khmer nói riêng từng bước vượt qua đại dịch, tập trung lao động sản xuất, ổn định đời sống"
"tơnơ̆ hơ̆ gơnoar broă klờm pràn wơl, bulah bè hơ̆ tài kòn dềt gơtìp do gơtìp sồt aniai leh kơn jơ̆, ờ geh dà đồm den tàng pal jồr mhàm sùm dong kờl tàm bàr poh","sau đó chức năng gan phục hồi, tuy nhiên do bệnh nhi bị tổn thương thận nặng, không có nước tiểu nên phải lọc máu liên tục hỗ trợ trong hai tuần"
"bulah bè hơ̆, kòp gơtùi rơcăng lài geh bơh broă cĭt baccine rơcăng sơnrang lài halà tơnơ̆ hơ̆ tơn tơnơ̆ tŭ ơm rềp mờ phan pơhìn bơtờp","tuy nhiên, bệnh có thể phòng ngừa được bằng cách tiêm vắc xin phòng dại trước hoặc ngay sau khi bị phơi nhiễm"
"bơh sơnrờp tŭ mŭt tàm hìu sơnơm, ƀak sìh đơs pràn kơldang ồng dê ờ gam gơn kơnờm tai tài bơh dờng sơnam, uă kòp geh bal as sồt klờm soh, ờ pràn nùs uă, đồm sơdàng","lúc mới nhập viện, bác sĩ cho biết tình trạng sức khỏe của ông không lạc quan vì tuổi cao, kèm theo nhiều bệnh lý như viêm phổi, suy tim, đái tháo đường"
"tàm do, ƀăk sĩ đơs là bàr đah măt bơh ồng dê gơtìp jù kòn măt den tàng pal reh hơ̆ sồng gơtùi sền loh wơl","tại đây, bác sĩ chẩn đoán hai mắt của ông bị đục thuỷ tinh thể phải phẫu thuật mới cải thiện thị lực"
"lài do, gơwèt mờ kòn se deh hờ đơm 26 poh den di lah kờñ klàs kis là ờ uă ngan, gam tŭ do neh gơtùi sơm mờ geh tŭ gơwèt mờ kòn se deh bơh tŭ mìng rơ̆p 23, 24 poh","trước đây, đối với thai dưới 26 tuần thì khả năng cứu sống rất thấp, còn bây giờ thì đã có thể cứu sống được nhiều trẻ chỉ mới 23,24 tuần"
"kòp sùm gơtìp tàm kơnòm dềt hơđơm 5 sơnam halà kung digơlan tìp tàm cau dờng, tài bơh ờ hềt geh cĭt rơcăng baccine kòp rang halà cĭt rơcăng ờ hềt tơl ding","bệnh thường gặp ở trẻ em dưới 5 tuổi hoặc cũng có thể gặp ở người lớn, do chưa được tiêm phòng sởi hoặc tiêm phòng chưa đủ liều"
"lơh duh să gơguh jơnhoa 39-40 độ c, lơh jòng 2-7 ngai, kan ngan gơmù duh","sốt cao đột ngột 39-40 độ c, kéo dài 2-7 ngày, khó hạ sốt"
broă sơm mờ sền gàr kơnòm dềt gơtìp kòp jơng tê bơr tàm hìu,cách điều trị và chăm sóc trẻ bị tay chân miệng tại nhà
"sŏc trăng lah càr ơm hơ gah croh dà hậu, geh 36% khà bơnus lah làng bol khmer","sóc trăng là tỉnh nằm bên bờ sông hậu, có 36% dân số là đồng bào khmer"
pôgru thanh ờ êt dơ̆ siăt sŏ ală oh in ng’gŏ lah lơh is mơ tê he jing bơtòp tŭ àu mpha ală oh geh lơh sèt,thầy thanh không ít lần cắt tóc cho các em hay tự tay khâu vá khi quần áo các cháu bị rách
kwang bàng lơh sơnơm càr dăk lăk tus sền tàm hìu cau gơtìp kòp,cán bộ y tế tỉnh đăk lăk tiến hành điều tra tại nhà bệnh nhi
"bi h’đi êñuôl, đơs: gŏ bơta kòp rang tŭ do kal ke ngan",chị h'đi ê nuôl phát biểu: tôi nhận thấy diễn biến dịch sởi hiện tại vô cùng phức tạp
28 klờng bơtê trực tuyến,28 trường dạy trực tuyến
tàm càr dăk lăk pa gŏ tai dùl nă kòn dềt gơtìp kòp as sồt tơngoh nhờk bản,tại tỉnh đăk lăk vừa ghi nhận thêm một ca mắc bệnh viêm não nhật bản
"bol lơh broă tờm sùm geh ai bơtê tai guh jơnhoa, gơwèt jăt lơh tờm jrô","đội ngũ chuyên môn luôn được đào tạo nâng cao, theo hướng chuyên sâu"
"rài kis lơh rơhời geh gơguh, làng bol jơi bơtiàn tam klăc, pindờn tam bơta tơlik lơh, gùng dà đảng dê, tơng gume, gơnoăt dà lơgar dê, sền gàr bơta ring lơngai dà lơgar, lơngăp lơngai niam bơně tam mpồl làng bol","đời sống từng bước được nâng lên, đồng bào dân tộc đoàn kết, tin tưởng vào chủ trương, đường lối của đảng, chính sách, pháp luật của nhà nước, giữ gìn an ninh chính trị, trật tự an toàn xã hội"
"phan ai xět nghiệm sinh hŏa, huyết học, miễn dịch, ... hìu sơnơm - cơdŭ trang kòp dha dê","thiết bị xét nghiệm sinh hóa, huyết học, miễn dịch,... của trạm y tế - phòng khám dha"
"bơh ngai añ lơh broă tàm do cau gơtìp rềs àr gùng lòt geh gơrềng tus ñô bièr, ơlak uă ngan",từ ngày tôi công tác ở đây trường hợp bị tai nạn giao thông liên quan tới rượu bia rất nhiều
"pơgăp mờ do 6 nam, tŭ gam là cau bơsram dờng nam dơ̆ 2 tàm hìu bơsram đại họk adăt boh lam, lŏ h. t gơtìp ală bơta tơngŏ đơs is (iăt kơno săp đơs mờ mùl màl ờ geh)","cách đây 6 năm, khi đang là sinh viên đại học năm thứ 2 của một trường luật, chị h.t bắt đầu xuất hiện các triệu chứng ảo thanh (tự nghe thấy âm thanh mà thực tế không có)"
"dơ̆ pe tai là sồr ală bơnah lơh broă tờm nàng rơcang sơnơm, phan lơh broă, phan lơh sơnơm nàng di lah kòp gơtờp gơguh den rơ̆p rơcang lài di tŭ","thứ 3 là chỉ đạo các bộ phận nghiệp vụ chuyên môn sẵn sàng thuốc, vật tư, trang thiết bị để trường hợp bệnh tăng lên sẽ ứng phó kịp"
"hìu sơnơm neh săp rơndăp tai jơnờng kòp, lơh geh tơl bơta kơ̆p kờñ trang, sơm kòp làng bol dê","bệnh viện đã bố trí thêm nhiều giường bệnh, đáp ứng nhu cầu khám, chữa bệnh của đồng bào"
"geh ală ƀăk sĩ yal nền nòn, lam sồr den tàng 2 nă ùr bơklao neh kờñ geh bun mờ deh kòn","được các bác sĩ thông tin cặn kẽ, động viên tinh thần nên 2 vợ chồng đã mạnh dạn lên kế hoạch mang thai và sinh con"
"jơh bal 2 mpồl do ndrờm geh bơta kal ke, sơbơng roh, tềl tơnggŏ gơbàn kòp ờ loh làng den tàng uă cau sền ờ sơp ờ lòt hìu sơnơm gờñ","cả hai nhóm bệnh này đều có sự phức tạp, nguy hiểm, triệu chứng mắc bệnh không rõ ràng vì vậy nhiều người chủ quan không đi bệnh viện sớm"
